Day_Of_Week,Dep_Delay,Arr_Delay,Flight_Duration,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft,Aicraft_age,LATITUDE,LONGITUDE,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Month,Day,Airline,Tail_Number,Dep_Airport,DepTime_label,Arr_Airport,Distance_type,Manufacturer,Model,Dep_Delay_Tag
4,-4,-16,276,0,0,0,0,0,6,45.58872,-122.5975,21.3,13.9,31.1,0.0,0.0,313.0,11.9,1012.9,6,22,Delta Air Lines Inc,N905DN,PDX,Morning,ATL,Medium Haul <3000Mi,BOEING,737 NG,0
4,54,51,114,0,0,0,0,51,32,41.78598,-87.75242,18.0,12.2,28.3,0.0,0.0,50.0,19.3,1006.5,6,15,Delta Air Lines Inc,N340NW,MDW,Evening,ATL,Short Haul >1500Mi,AIRBUS,A320,1
3,-4,-1,108,0,0,0,0,0,10,39.29761,-94.71391,24.1,20.0,28.3,33.0,0.0,320.0,7.6,1009.1,8,9,Southwest Airlines Co.,N8632A,MCI,Afternoon,AUS,Short Haul >1500Mi,BOEING,737 NG,0
3,36,24,164,19,0,0,0,5,25,32.89595,-97.0372,21.4,18.9,24.4,0.0,0.0,165.0,21.1,1004.9,10,11,American Airlines Inc.,N653AW,DFW,Afternoon,DCA,Short Haul >1500Mi,AIRBUS,A320,1
3,-14,-29,117,0,0,0,0,0,7,32.89595,-97.0372,32.6,26.1,38.3,0.0,0.0,175.0,22.3,1009.7,6,28,Delta Air Lines Inc,N331DN,DFW,Night,ATL,Short Haul >1500Mi,AIRBUS,A321,0
5,-4,0,172,0,0,0,0,0,10,40.63975,-73.77893,4.1,0.6,7.2,9.4,0.0,76.0,12.6,1014.5,3,10,Endeavor Air,N310PQ,JFK,Evening,JAX,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
3,-3,4,174,0,0,0,0,0,11,39.71733,-86.29438,18.9,7.8,25.0,18.1,0.0,215.0,17.7,1009.8,4,5,United Air Lines Inc.,N37471,IND,Afternoon,DEN,Short Haul >1500Mi,BOEING,737 NG,0
2,14,9,105,0,0,0,0,0,18,33.64044,-84.42694,25.6,20.6,31.1,0.0,0.0,322.0,5.0,1015.2,7,11,Southwest Airlines Co.,N253WN,ATL,Afternoon,FLL,Short Haul >1500Mi,BOEING,737 NG,1
6,-2,-15,95,0,0,0,0,0,25,42.21206,-83.34884,12.3,9.4,17.2,7.1,0.0,257.0,13.9,1002.7,4,29,Delta Air Lines Inc,N944AT,DTW,Morning,CLT,Short Haul >1500Mi,BOEING,717,0
1,-2,-1,44,0,0,0,0,0,26,21.31869,-157.92241,24.9,21.1,28.9,0.0,0.0,305.0,7.6,1018.9,1,16,Hawaiian Airlines Inc.,N489HA,HNL,Morning,LIH,Short Haul >1500Mi,BOEING,717,0
2,28,27,132,0,0,27,0,0,2,42.94722,-87.89658,21.9,16.7,28.3,0.5,0.0,322.0,19.8,1012.1,8,29,JetBlue Airways,N3102J,MKE,Afternoon,BOS,Short Haul >1500Mi,AIRBUS,A220,1
1,298,270,120,0,0,0,0,270,5,35.21401,-80.94313,27.0,21.7,31.7,0.0,0.0,354.0,6.8,1016.9,7,17,Spirit Air Lines,N920NK,CLT,Evening,BOS,Short Haul >1500Mi,AIRBUS,A320,1
7,-3,26,164,0,0,26,0,0,23,39.99799,-82.89188,0.0,-2.8,1.7,6.6,0.0,37.0,6.9,1011.6,1,22,Southwest Airlines Co.,N416WN,CMH,Morning,MCO,Short Haul >1500Mi,BOEING,737 NG,0
5,-2,1,243,0,0,0,0,0,8,33.94254,-118.40807,19.9,18.9,22.8,0.0,0.0,250.0,11.9,1014.2,9,15,Southwest Airlines Co.,N8698B,LAX,Afternoon,BNA,Medium Haul <3000Mi,BOEING,737 NG,0
6,-5,-17,299,0,0,0,0,0,16,33.94254,-118.40807,20.1,17.2,23.9,0.0,0.0,247.0,13.3,1013.2,8,26,United Air Lines Inc.,N47414,LAX,Afternoon,IAD,Medium Haul <3000Mi,BOEING,737 NG,0
7,-4,-10,174,0,0,0,0,0,24,40.63975,-73.77893,4.3,0.0,7.8,0.0,0.0,192.0,20.2,1024.1,2,19,Delta Air Lines Inc,N395DN,JFK,Morning,TPA,Short Haul >1500Mi,BOEING,737 NG,0
4,4,-2,261,0,0,0,0,0,5,37.619,-122.37484,14.3,11.7,17.2,0.0,0.0,285.0,21.6,1016.3,11,30,Delta Air Lines Inc,N919DU,SFO,Morning,ATL,Medium Haul <3000Mi,BOEING,737 NG,1
4,2,-10,92,0,0,0,0,0,22,42.21206,-83.34884,11.9,6.1,19.4,0.0,0.0,108.0,14.2,1015.9,4,20,Delta Air Lines Inc,N995AT,DTW,Afternoon,RDU,Short Haul >1500Mi,BOEING,717,1
7,180,174,121,0,13,0,0,161,30,41.9796,-87.90446,4.5,1.1,8.9,3.0,0.0,5.0,13.7,1013.9,3,26,United Air Lines Inc.,N412UA,ORD,Afternoon,PHL,Short Haul >1500Mi,AIRBUS,A320,1
3,0,20,155,0,0,20,0,0,24,30.48325,-86.5254,31.6,25.9,38.0,0.0,0.0,1.0,9.5,1014.7,8,23,American Airlines Inc.,N738US,VPS,Afternoon,DFW,Short Haul >1500Mi,AIRBUS,A319,0
1,-5,-31,111,0,0,0,0,0,2,38.17439,-85.736,10.8,8.9,13.3,5.8,0.0,76.0,9.7,1016.7,11,20,Skywest Airlines Inc.,N311SY,SDF,Morning,MSP,Short Haul >1500Mi,EMBRAER,170/175,0
6,12,0,140,0,0,0,0,0,21,27.39533,-82.55411,25.2,23.9,27.2,0.0,0.0,206.0,18.1,1013.3,3,4,American Airlines Inc.,N771XF,SRQ,Afternoon,PHL,Short Haul >1500Mi,AIRBUS,A319,1
2,-10,-33,145,0,0,0,0,0,8,33.82922,-116.50625,12.2,8.3,17.2,0.0,0.0,348.0,8.0,1011.0,1,17,American Airlines Inc.,N160AN,PSP,Afternoon,DFW,Short Haul >1500Mi,AIRBUS,A321,0
6,-11,-48,159,0,0,0,0,0,22,38.85208,-77.03772,24.5,21.1,31.1,19.8,0.0,116.0,9.7,1017.6,9,9,PSA Airlines,N507AE,DCA,Morning,MCI,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
2,32,36,89,0,0,4,0,32,18,37.72129,-122.22072,14.7,12.2,19.4,0.0,0.0,232.0,22.3,1011.7,5,23,Southwest Airlines Co.,N237WN,OAK,Evening,LAS,Short Haul >1500Mi,BOEING,737 NG,1
1,-3,-16,80,0,0,0,0,0,21,43.11119,-76.10631,20.3,10.0,30.6,0.0,0.0,5.0,6.5,1016.1,5,29,Delta Air Lines Inc,N360NB,SYR,Morning,DTW,Short Haul >1500Mi,AIRBUS,A319,0
1,2,17,231,0,0,17,0,0,25,47.44898,-122.30931,26.2,14.4,31.1,3.0,0.0,329.0,13.0,1015.2,5,15,Alaska Airlines Inc.,N613AS,SEA,Afternoon,ANC,Short Haul >1500Mi,BOEING,737 NG,1
1,-7,-21,95,0,0,0,0,0,23,40.78839,-111.97777,6.6,1.7,11.1,6.1,0.0,170.0,15.5,1006.0,3,20,Delta Air Lines Inc,N326NB,SLC,Morning,SMF,Short Haul >1500Mi,AIRBUS,A319,0
3,16,15,128,0,0,15,0,0,25,35.21401,-80.94313,8.6,1.7,16.7,0.0,0.0,16.0,7.6,1018.4,1,11,American Airlines Inc.,N103US,CLT,Evening,PWM,Short Haul >1500Mi,AIRBUS,A320,1
1,-8,11,374,0,0,0,0,0,6,45.58872,-122.5975,7.8,0.0,16.1,0.0,0.0,10.0,12.6,1025.5,10,30,Hawaiian Airlines Inc.,N209HA,PDX,Morning,OGG,Medium Haul <3000Mi,AIRBUS,A321,0
4,-3,-4,263,0,0,0,0,0,10,33.94254,-118.40807,16.3,15.0,18.3,0.3,0.0,202.0,14.0,1012.3,5,25,Delta Air Lines Inc,N826DN,LAX,Afternoon,DTW,Medium Haul <3000Mi,BOEING,737 NG,0
3,-6,-27,61,0,0,0,0,0,19,44.88055,-93.21692,23.4,17.2,31.1,0.0,0.0,223.0,19.4,1004.4,4,12,Skywest Airlines Inc.,N931EV,MSP,Afternoon,ABR,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
2,192,196,68,196,0,0,0,0,21,41.9796,-87.90446,24.5,20.6,29.4,0.0,0.0,207.0,11.2,1020.8,8,1,Skywest Airlines Inc.,N954SW,ORD,Morning,MLI,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,1
2,-2,-10,200,0,0,0,0,0,7,32.89595,-97.0372,15.4,7.8,23.3,0.0,0.0,196.0,7.8,1019.3,10,17,American Airlines Inc.,N339PL,DFW,Morning,LGA,Short Haul >1500Mi,BOEING,737 NG,0
4,8,1,111,0,0,0,0,0,7,33.64044,-84.42694,17.1,10.6,23.3,1.2,0.0,286.0,7.4,1016.3,2,16,American Airlines Inc.,N901AA,ATL,Morning,MIA,Short Haul >1500Mi,AIRBUS,A321,1
5,24,29,114,0,11,5,0,13,4,39.87195,-75.24114,19.3,17.2,22.8,14.2,0.0,62.0,11.2,1015.3,6,23,Frontier Airlines Inc.,N367FR,PHL,Afternoon,CLT,Short Haul >1500Mi,AIRBUS,A320,1
5,-3,-9,93,0,0,0,0,0,7,40.49147,-80.23287,27.2,22.2,32.8,0.3,0.0,226.0,10.4,1016.8,7,28,Delta Air Lines Inc,N881DN,PIT,Morning,ATL,Short Haul >1500Mi,BOEING,737 NG,0
7,-9,-35,208,0,0,0,0,0,11,39.29761,-94.71391,23.7,16.7,30.6,3.8,0.0,111.0,9.4,1019.6,5,14,Alaska Airlines Inc.,N413AS,MCI,Morning,SEA,Short Haul >1500Mi,BOEING,737 NG,0
1,0,-6,115,0,0,0,0,0,19,40.6925,-74.16866,12.3,10.1,15.6,11.3,0.0,344.0,10.8,1010.5,10,30,Republic Airways,N862RW,EWR,Morning,GSO,Short Haul >1500Mi,EMBRAER,170/175,0
7,-13,-19,50,0,0,0,0,0,24,55.35557,-131.71374,6.4,5.6,7.2,6.1,0.0,135.0,16.6,1021.7,11,26,Alaska Airlines Inc.,N303AS,KTN,Afternoon,SIT,Short Haul >1500Mi,BOEING,737 NG,0
1,76,70,93,6,0,0,0,64,24,30.47331,-87.18744,18.2,10.0,25.0,0.0,0.0,332.0,13.7,1017.6,4,17,American Airlines Inc.,N819AW,PNS,Evening,CLT,Short Haul >1500Mi,AIRBUS,A319,1
1,-10,-9,165,0,0,0,0,0,3,26.07258,-80.15275,18.4,13.9,22.8,0.0,0.0,325.0,14.8,1016.8,2,13,Spirit Air Lines,N945NK,FLL,Afternoon,PHL,Short Haul >1500Mi,AIRBUS,A320,0
4,-6,11,184,0,0,0,0,0,19,40.6925,-74.16866,7.6,4.3,13.3,2.8,0.0,346.0,11.7,1007.3,3,2,United Air Lines Inc.,N39297,EWR,Morning,ORD,Short Haul >1500Mi,BOEING,737 NG,0
6,-6,-11,63,0,0,0,0,0,5,35.21401,-80.94313,22.2,15.6,28.9,0.0,0.0,190.0,9.4,1018.5,9,16,PSA Airlines,N603NN,CLT,Afternoon,MYR,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
5,33,25,66,0,0,25,0,0,11,33.67566,-117.86822,21.4,20.0,25.0,0.0,0.0,250.0,7.3,1014.1,9,15,Spirit Air Lines,N624NK,SNA,Afternoon,LAS,Short Haul >1500Mi,AIRBUS,A320,1
2,-6,-5,336,0,0,0,0,0,2,21.31869,-157.92241,27.7,24.4,31.7,0.0,0.0,61.0,22.3,1015.0,9,19,Delta Air Lines Inc,N505DZ,HNL,Morning,LAX,Medium Haul <3000Mi,AIRBUS,A321,0
2,-7,-15,122,0,0,0,0,0,5,39.87195,-75.24114,4.8,1.1,9.4,0.0,0.0,274.0,18.0,1022.1,1,24,PSA Airlines,N607NN,PHL,Morning,IND,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
2,-2,-12,150,0,0,0,0,0,4,28.42889,-81.31603,26.0,21.7,30.6,0.0,0.0,66.0,7.5,1013.1,5,30,Southwest Airlines Co.,N8747Q,MCO,Morning,ISP,Short Haul >1500Mi,BOEING,737 NG,0
2,6,-9,70,0,0,0,0,0,18,39.85841,-104.667,25.6,17.8,33.9,0.0,0.0,170.0,13.7,1008.6,7,11,Southwest Airlines Co.,N260WN,DEN,Afternoon,OMA,Short Haul >1500Mi,BOEING,737 NG,1
3,46,17,140,8,0,0,0,9,5,42.36435,-71.00518,-1.7,-4.9,1.7,0.3,0.0,2.0,13.3,1025.5,1,11,Delta Air Lines Inc,N108DQ,BOS,Morning,CHS,Short Haul >1500Mi,AIRBUS,A220,1
5,124,120,188,14,0,0,0,106,11,39.49858,-119.76806,3.3,-2.1,12.2,0.0,0.0,6.0,2.2,1016.7,12,22,American Airlines Inc.,N917NN,RNO,Morning,DFW,Short Haul >1500Mi,BOEING,737 NG,1
1,26,51,201,0,0,51,0,0,24,26.07258,-80.15275,30.4,27.8,34.4,0.0,0.0,125.0,10.4,1017.6,8,7,JetBlue Airways,N506JB,FLL,Evening,EWR,Short Haul >1500Mi,AIRBUS,A320,1
1,-2,-6,138,0,0,0,0,0,6,33.64044,-84.42694,13.9,7.8,20.6,0.0,0.0,290.0,11.5,1014.4,4,17,Delta Air Lines Inc,N345DN,ATL,Afternoon,DFW,Short Haul >1500Mi,AIRBUS,A321,0
6,-12,-24,173,0,0,0,0,0,21,40.6925,-74.16866,20.0,13.5,26.9,1.5,0.0,324.0,10.7,1009.0,6,10,JetBlue Airways,N564JB,EWR,Morning,RSW,Short Haul >1500Mi,AIRBUS,A320,0
3,16,2,192,0,0,0,0,0,20,32.89595,-97.0372,34.4,28.3,40.6,0.0,0.0,179.0,23.4,1013.6,7,19,American Airlines Inc.,N834AW,DFW,Evening,SBP,Short Haul >1500Mi,AIRBUS,A319,1
2,0,-16,366,0,0,0,0,0,31,40.63975,-73.77893,22.0,19.4,27.2,0.0,0.0,83.0,9.7,1013.8,8,29,Delta Air Lines Inc,N183DN,JFK,Morning,SFO,Medium Haul <3000Mi,BOEING,767,0
3,-1,-12,134,0,0,0,0,0,23,29.98047,-95.33972,11.2,6.1,18.9,0.0,0.0,327.0,10.4,1017.4,12,27,American Airlines Inc.,N163US,IAH,Morning,CLT,Short Haul >1500Mi,AIRBUS,A321,0
7,0,-16,227,0,0,0,0,0,5,33.64044,-84.42694,26.6,22.2,31.1,4.1,0.0,277.0,11.3,1011.6,7,9,Delta Air Lines Inc,N367DN,ATL,Evening,PHX,Medium Haul <3000Mi,AIRBUS,A321,0
2,-6,-20,155,0,0,0,0,0,11,41.9796,-87.90446,4.8,2.2,7.2,0.0,0.0,40.0,23.0,1029.4,3,7,American Airlines Inc.,N936NN,ORD,Afternoon,AUS,Short Haul >1500Mi,BOEING,737 NG,0
4,169,168,177,0,71,1,0,96,10,28.42889,-81.31603,26.8,22.2,32.8,7.8,0.0,304.0,9.3,1013.3,5,18,Spirit Air Lines,N631NK,MCO,Evening,MCI,Short Haul >1500Mi,AIRBUS,A320,1
6,-6,22,393,0,0,22,0,0,17,45.58872,-122.5975,7.7,4.4,8.9,3.0,0.0,39.0,9.0,1009.3,1,7,Alaska Airlines Inc.,N566AS,PDX,Morning,LIH,Medium Haul <3000Mi,BOEING,737 NG,0
5,3,-4,147,0,0,0,0,0,8,28.42889,-81.31603,15.9,9.4,18.9,7.7,0.0,257.0,25.1,1013.1,1,13,Delta Air Lines Inc,N301DV,MCO,Afternoon,LGA,Short Haul >1500Mi,AIRBUS,A321,1
5,41,15,194,5,0,0,0,10,20,39.1754,-76.6682,21.8,12.8,29.4,0.0,0.0,84.0,5.4,1018.3,5,12,Southwest Airlines Co.,N473WN,BWI,Evening,AUS,Short Haul >1500Mi,BOEING,737 NG,1
5,8,2,51,0,0,0,0,0,23,21.31869,-157.92241,25.4,21.7,29.4,0.0,0.0,304.0,10.1,1015.6,10,27,Hawaiian Airlines Inc.,N484HA,HNL,Afternoon,ITO,Short Haul >1500Mi,BOEING,717,1
7,-3,-6,352,0,0,0,0,0,2,33.94254,-118.40807,13.4,11.1,16.1,0.0,0.0,252.0,11.9,1018.4,4,16,Southwest Airlines Co.,N8777Q,LAX,Morning,LIH,Medium Haul <3000Mi,BOEING,737 NG,0
3,-10,-10,79,0,0,0,0,0,8,41.9796,-87.90446,19.4,17.2,22.2,0.5,0.0,96.0,13.3,1017.6,9,27,United Air Lines Inc.,N38479,ORD,Morning,CLE,Short Haul >1500Mi,BOEING,737 NG,0
1,-5,-30,186,0,0,0,0,0,9,32.89595,-97.0372,30.6,23.3,41.1,0.0,0.0,168.0,15.1,1013.1,7,17,Spirit Air Lines,N641NK,DFW,Morning,EWR,Short Haul >1500Mi,AIRBUS,A320,0
4,13,13,70,0,0,0,0,0,14,33.67566,-117.86822,23.9,20.6,29.4,0.0,0.0,228.0,9.6,1012.2,7,27,Southwest Airlines Co.,N952WN,SNA,Morning,SJC,Short Haul >1500Mi,BOEING,737 NG,1
2,-4,-5,316,0,0,0,0,0,9,39.87195,-75.24114,7.0,2.2,9.4,0.3,0.0,343.0,30.2,1012.9,3,7,Delta Air Lines Inc,N843DN,PHL,Morning,SLC,Medium Haul <3000Mi,BOEING,737 NG,0
7,-3,-20,73,0,0,0,0,0,5,35.21401,-80.94313,17.4,10.0,23.9,0.0,0.0,317.0,12.6,1013.6,10,22,PSA Airlines,N611NN,CLT,Afternoon,BHM,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
7,17,14,174,0,0,0,0,0,7,33.94254,-118.40807,16.2,14.4,21.1,0.0,0.0,186.0,12.2,1013.6,5,14,Spirit Air Lines,N913NK,LAX,Afternoon,AUS,Short Haul >1500Mi,AIRBUS,A320,1
1,15,11,228,0,0,0,0,0,10,47.44898,-122.30931,4.0,-0.5,9.4,0.3,0.0,121.0,8.6,1016.1,3,6,American Airlines Inc.,N971UY,SEA,Morning,DFW,Medium Haul <3000Mi,AIRBUS,A321,1
3,-4,-8,209,0,0,0,0,0,11,32.89595,-97.0372,22.9,18.9,23.9,8.1,0.0,128.0,7.6,1011.2,5,10,American Airlines Inc.,N920NN,DFW,Afternoon,LGA,Short Haul >1500Mi,BOEING,737 NG,0
1,-7,-2,290,0,0,0,0,0,16,33.43417,-112.00806,33.3,25.6,39.4,0.0,0.0,258.0,10.1,1008.3,9,18,American Airlines Inc.,N194UW,PHX,Evening,EWR,Medium Haul <3000Mi,AIRBUS,A321,0
6,77,79,127,0,64,2,0,13,6,28.42889,-81.31603,24.8,22.2,30.0,42.4,0.0,26.0,8.7,1006.6,6,3,Southwest Airlines Co.,N8567Z,MCO,Afternoon,SDF,Short Haul >1500Mi,BOEING,737 NG,1
2,-3,-14,345,0,0,0,0,0,5,39.87195,-75.24114,3.0,-2.7,7.8,0.0,0.0,187.0,9.4,1025.4,2,7,American Airlines Inc.,N400AN,PHL,Afternoon,LAX,Medium Haul <3000Mi,AIRBUS,A321,0
3,-4,-27,99,0,0,0,0,0,16,39.85841,-104.667,-7.6,-13.8,5.0,0.0,100.0,211.0,15.5,1022.7,2,1,United Air Lines Inc.,N39418,DEN,Afternoon,PHX,Short Haul >1500Mi,BOEING,737 NG,0
6,-12,-40,314,0,0,0,0,0,3,47.44898,-122.30931,4.4,2.2,8.9,0.0,0.0,210.0,13.3,1025.1,3,25,American Airlines Inc.,N443AA,SEA,Evening,MIA,Medium Haul <3000Mi,AIRBUS,A321,0
4,137,137,160,0,0,7,0,130,5,38.74769,-90.35999,18.2,7.8,26.7,0.0,0.0,117.0,10.7,1011.0,4,13,American Eagle Airlines Inc.,N281NN,STL,Evening,MIA,Short Haul >1500Mi,EMBRAER,170/175,1
1,96,91,98,0,0,0,0,91,18,39.49858,-119.76806,25.7,15.6,36.1,0.0,0.0,265.0,7.9,1014.5,8,28,JetBlue Airways,N644JB,RNO,Evening,LAX,Short Haul >1500Mi,AIRBUS,A320,1
6,-10,43,228,0,0,43,0,0,11,39.85841,-104.667,15.8,9.4,25.0,2.5,0.0,141.0,13.7,1009.0,5,27,Alaska Airlines Inc.,N423AS,DEN,Afternoon,SEA,Short Haul >1500Mi,BOEING,737 NG,0
7,4,-8,68,0,0,0,0,0,11,37.36186,-121.92901,21.5,15.6,28.9,0.0,0.0,333.0,7.6,1011.1,10,8,Southwest Airlines Co.,N8612K,SJC,Afternoon,LAX,Short Haul >1500Mi,BOEING,737 NG,1
3,-5,-28,142,0,0,0,0,0,21,33.64044,-84.42694,23.1,17.2,28.9,0.0,0.0,50.0,6.9,1017.5,5,10,Southwest Airlines Co.,N7828A,ATL,Morning,SAT,Short Haul >1500Mi,BOEING,737 NG,0
7,-6,-17,132,0,0,0,0,0,5,41.9796,-87.90446,8.7,5.6,13.9,0.0,0.0,184.0,18.4,1026.7,11,12,Delta Air Lines Inc,N126DU,ORD,Afternoon,BOS,Short Haul >1500Mi,AIRBUS,A220,0
3,-6,-43,346,0,0,0,0,0,10,40.63975,-73.77893,3.4,0.6,5.6,0.0,0.0,350.0,20.2,1015.8,12,6,American Airlines Inc.,N106NN,JFK,Morning,LAX,Medium Haul <3000Mi,AIRBUS,A321,0
6,73,60,113,0,0,0,0,60,5,29.98047,-95.33972,10.3,8.3,13.3,0.0,0.0,1.0,15.1,1025.6,3,18,United Air Lines Inc.,N47517,IAH,Evening,JAX,Short Haul >1500Mi,BOEING,737 NG,1
7,-2,-9,328,0,0,0,0,0,5,37.72129,-122.22072,17.2,12.8,22.2,0.0,0.0,284.0,10.8,1016.5,7,30,Southwest Airlines Co.,N1810U,OAK,Morning,LIH,Medium Haul <3000Mi,BOEING,737 NG,0
5,-3,3,136,0,0,0,0,0,20,32.89595,-97.0372,23.5,21.1,28.9,0.0,0.0,91.0,9.0,1015.2,9,15,Skywest Airlines Inc.,N750EV,DFW,Evening,DRO,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
7,33,21,68,5,0,0,0,16,1,29.99339,-90.25803,16.6,9.4,20.6,12.4,0.0,319.0,19.4,1019.3,12,10,Southwest Airlines Co.,N8896L,MSY,Afternoon,HOU,Short Haul >1500Mi,BOEING,737 NG,1
2,-5,-11,150,0,0,0,0,0,5,37.619,-122.37484,11.8,10.0,14.4,12.2,0.0,145.0,13.7,1009.0,5,2,United Air Lines Inc.,N37530,SFO,Afternoon,DEN,Short Haul >1500Mi,BOEING,737 NG,0
3,-8,-11,77,0,0,0,0,0,5,38.17439,-85.736,20.6,15.0,27.2,0.0,0.0,2.0,10.8,1017.9,9,13,Delta Air Lines Inc,N929DZ,SDF,Morning,ATL,Short Haul >1500Mi,BOEING,737 NG,0
7,-8,-12,246,0,0,0,0,0,11,47.44898,-122.30931,12.2,8.3,16.7,4.3,0.0,207.0,11.9,1012.3,6,18,Alaska Airlines Inc.,N431AS,SEA,Morning,IND,Medium Haul <3000Mi,BOEING,737 NG,0
5,-11,-11,59,0,0,0,0,0,18,33.36996,-81.9645,25.4,21.1,32.8,0.0,0.0,340.0,4.7,1012.7,8,4,Skywest Airlines Inc.,N804SK,AGS,Night,ATL,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
6,52,47,44,47,0,0,0,0,20,32.89595,-97.0372,19.3,11.1,25.0,0.0,0.0,241.0,16.9,1009.0,3,25,Skywest Airlines Inc.,N713SK,DFW,Afternoon,ACT,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,1
5,-5,-18,227,0,0,0,0,0,6,30.19453,-97.66987,29.4,22.8,36.1,0.0,0.0,168.0,16.6,1012.8,6,30,Spirit Air Lines,N690NK,AUS,Afternoon,EWR,Medium Haul <3000Mi,AIRBUS,A320,0
7,-4,-6,73,0,0,0,0,0,1,39.1754,-76.6682,26.9,20.6,32.2,0.0,0.0,52.0,7.6,1012.3,8,27,Southwest Airlines Co.,N8846Q,BWI,Afternoon,CLE,Short Haul >1500Mi,BOEING,737 NG,0
2,-2,-16,80,0,0,0,0,0,6,47.44898,-122.30931,18.2,11.1,18.9,0.0,0.0,207.0,18.7,1015.8,6,13,Skywest Airlines Inc.,N292SY,SEA,Afternoon,BOI,Short Haul >1500Mi,EMBRAER,170/175,0
6,-3,-5,272,0,0,0,0,0,9,41.9796,-87.90446,24.7,17.2,30.6,0.0,0.0,23.0,16.2,1016.1,6,3,United Air Lines Inc.,N61882,ORD,Morning,SFO,Medium Haul <3000Mi,BOEING,737 NG,0
3,-4,18,142,0,0,18,0,0,10,38.74769,-90.35999,21.2,15.0,27.2,0.5,0.0,107.0,15.2,1017.6,5,10,American Airlines Inc.,N954NN,STL,Morning,DFW,Short Haul >1500Mi,BOEING,737 NG,0
5,-5,-4,96,0,0,0,0,0,5,32.73356,-117.18966,14.9,10.0,19.4,0.0,0.0,314.0,7.2,1018.0,4,7,United Air Lines Inc.,N47517,SAN,Morning,SFO,Short Haul >1500Mi,BOEING,737 NG,0
3,-5,-18,136,0,0,0,0,0,17,42.94722,-87.89658,14.0,9.4,16.7,0.0,0.0,15.0,27.4,1023.5,5,24,Skywest Airlines Inc.,N607CZ,MKE,Afternoon,JFK,Short Haul >1500Mi,EMBRAER,170/175,0
7,16,8,162,0,0,0,0,0,7,29.64542,-95.27889,20.8,16.1,25.0,0.0,0.0,6.0,19.2,1021.5,4,16,Southwest Airlines Co.,N8523W,HOU,Afternoon,PHX,Short Haul >1500Mi,BOEING,737 NG,1
2,117,112,99,112,0,0,0,0,22,33.64044,-84.42694,18.3,13.9,21.1,31.1,0.0,183.0,8.5,1016.4,1,3,Delta Air Lines Inc,N347NB,ATL,Afternoon,STL,Short Haul >1500Mi,AIRBUS,A319,1
4,-8,-15,141,0,0,0,0,0,7,40.77724,-73.87261,21.0,13.9,27.0,0.0,0.0,272.0,7.7,1019.0,5,11,Frontier Airlines Inc.,N313FR,LGA,Morning,ATL,Short Haul >1500Mi,AIRBUS,A320,0
7,-7,-11,102,0,0,0,0,0,16,37.36186,-121.92901,15.0,11.4,18.9,0.55,0.0,178.0,12.9,1016.4,3,12,Alaska Airlines Inc.,N514AS,SJC,Evening,PDX,Short Haul >1500Mi,BOEING,737 NG,0
1,-4,1,150,0,0,0,0,0,16,40.63975,-73.77893,6.4,0.6,11.7,0.0,0.0,142.0,22.0,1019.6,4,3,Endeavor Air,N186PQ,JFK,Afternoon,CHS,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
3,-1,-6,80,0,0,0,0,0,17,33.43417,-112.00806,18.9,15.6,25.0,0.5,0.0,91.0,16.9,1011.6,12,20,Southwest Airlines Co.,N7846A,PHX,Morning,BUR,Short Haul >1500Mi,BOEING,737 NG,0
3,1,-4,115,0,0,0,0,0,12,41.78598,-87.75242,23.1,19.4,27.2,9.7,0.0,230.0,21.1,1007.6,9,6,Southwest Airlines Co.,N8603F,MDW,Afternoon,OKC,Short Haul >1500Mi,BOEING,737 NG,1
1,30,23,107,23,0,0,0,0,22,47.44898,-122.30931,17.3,11.7,23.3,0.0,0.0,223.0,11.9,1017.4,6,26,Alaska Airlines Inc.,N315AS,SEA,Evening,SMF,Short Haul >1500Mi,BOEING,737 NG,1
7,-6,-20,125,0,0,0,0,0,9,40.6925,-74.16866,23.8,16.5,29.3,0.0,0.0,320.0,5.9,1018.8,8,20,Delta Air Lines Inc,N838DN,EWR,Morning,ATL,Short Haul >1500Mi,BOEING,737 NG,0
7,0,-11,99,0,0,0,0,0,17,31.80667,-106.37781,31.9,25.0,36.1,0.0,0.0,108.0,17.3,1012.2,7,30,Southwest Airlines Co.,N7744A,ELP,Morning,DAL,Short Haul >1500Mi,BOEING,737 NG,0
