Day_Of_Week,Dep_Delay,Arr_Delay,Flight_Duration,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft,Aicraft_age,LATITUDE,LONGITUDE,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Month,Day,Airline,Tail_Number,Dep_Airport,DepTime_label,Arr_Airport,Distance_type,Manufacturer,Model,Dep_Delay_Tag
1,-5,-27,88,0,0,0,0,0,4,40.77724,-73.87261,21.7,19.4,24.4,7.0,0.0,111.0,7.8,1007.3,6,12,Endeavor Air,N491PX,LGA,Afternoon,RDU,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
5,-4,-8,121,0,0,0,0,0,7,39.1754,-76.6682,4.7,-1.0,8.9,4.6,0.0,0.0,1.4,1019.4,12,1,Southwest Airlines Co.,N8552Z,BWI,Afternoon,BHM,Short Haul >1500Mi,BOEING,737 NG,0
1,0,-13,202,0,0,0,0,0,3,29.64542,-95.27889,26.8,24.0,30.6,4.8,0.0,101.0,10.5,1013.4,5,29,Southwest Airlines Co.,N8750Q,HOU,Morning,LAX,Short Haul >1500Mi,BOEING,737 NG,0
2,-2,-15,429,0,0,0,0,0,7,21.31869,-157.92241,27.9,25.0,31.7,0.0,0.0,55.0,20.2,1019.2,7,25,American Airlines Inc.,N830AN,HNL,Afternoon,DFW,Long Haul <6000Mi,BOEING,787,0
6,20,10,65,0,0,0,0,0,15,34.20062,-118.3585,26.4,21.1,35.0,0.0,0.0,158.0,9.4,1012.2,7,29,Southwest Airlines Co.,N940WN,BUR,Afternoon,SMF,Short Haul >1500Mi,BOEING,737 NG,1
7,-13,-11,37,0,0,0,0,0,20,21.97598,-159.33896,24.8,21.1,27.2,0.0,0.0,87.0,13.7,1017.4,3,26,Hawaiian Airlines Inc.,N494HA,LIH,Morning,HNL,Short Haul >1500Mi,BOEING,717,0
5,1,0,99,0,0,0,0,0,2,38.74769,-90.35999,23.2,16.7,28.9,0.0,0.0,67.0,7.9,1013.8,7,7,Southwest Airlines Co.,N8827Q,STL,Morning,DAL,Short Haul >1500Mi,BOEING,737 NG,1
6,13,6,74,0,0,0,0,0,19,30.19453,-97.66987,9.7,7.2,11.7,0.0,0.0,8.0,11.2,1027.0,3,18,Skywest Airlines Inc.,N755SK,AUS,Evening,OKC,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,1
4,0,-2,49,0,0,0,0,0,25,35.4333,-82.0333,21.8,20.0,23.9,9.1,0.0,151.0,6.8,1017.0,8,3,Delta Air Lines Inc,N948AT,AVL,Morning,ATL,Short Haul >1500Mi,BOEING,717,0
4,-6,-19,134,0,0,0,0,0,14,41.30252,-95.89417,7.7,-0.5,23.9,0.0,0.0,151.0,30.6,1008.8,3,30,American Airlines Inc.,N849NN,OMA,Afternoon,CLT,Short Haul >1500Mi,BOEING,737 NG,0
